subset,n,scored_n,reject_rate,Q_mean,Q_median,Q_p10,Q_p90,Q_group_median_mean,Q_equal22_mean,semantic_conflict_rate,tradeoff_rate,education_mean,readability_mean,cleanliness_mean,structure_mean,fineweb_vs_qurater_education_rate,fluency_vs_readability_rate,professionalism_vs_expertise_rate,two_vs_three_gram_rate
A1:all,51230,51230,0.0,0.6394530500788795,0.6469400671668202,0.5196519083861495,0.7530480652808014,0.6097656515458507,0.6708512032081207,0.07066172164747218,0.0,0.4999892646013188,0.6407753008009884,0.5,0.9170476349132108,0.007710325980870584,0.008979113800507515,0.0022642982627366776,0.052879172359945346
A1:arxiv,1419,1419,0.0,0.7574514751153981,0.7712543863485123,0.6896694231279492,0.8090939286231232,0.7753748421666345,0.754802439291776,0.0,0.0,0.5406935683997921,0.8216320226712255,0.7459849643794371,0.921495345011138,0.0,0.0,0.0,0.0
A1:book,171,171,0.0,0.6468261291921016,0.6545260548303156,0.5637721726283297,0.7287238287152562,0.6633521164112074,0.6511034292263291,0.09941520467836257,0.0,0.3381735015491904,0.6796966588435238,0.6593759738503001,0.9100583825253917,0.005847953216374269,0.09941520467836257,0.0,0.0
A1:c4,10000,10000,0.0,0.6582534301992545,0.6704939011879314,0.5216279640069429,0.7766501024521332,0.6415710229383423,0.6808214319274902,0.0807,0.0,0.49598424614326525,0.7306726247641355,0.4841727235018544,0.9221841263877631,0.0152,0.0102,0.0005,0.0585
A1:commoncrawl,9640,9640,0.0,0.6528589893508728,0.6656148991424744,0.5350375443539759,0.7535420801703779,0.6417486564998662,0.6674345104103623,0.02012448132780083,0.0,0.4375773315569257,0.7492405400053197,0.5060647030153657,0.9185533828258803,0.0034232365145228216,0.01421161825726141,0.0007261410788381743,0.0018672199170124482
A1:github,10000,10000,0.0,0.5809686880298685,0.5877448770640472,0.4773030016410185,0.6743981685191606,0.5248057240136977,0.633840422413799,0.0829,0.0,0.4891948014734011,0.48121849343535633,0.43780536380050744,0.9156560934102088,0.0038,0.0073,0.0082,0.0642
A1:stackexchange,10000,10000,0.0,0.6538691085900595,0.6638331885305203,0.5554015448807517,0.7413041804618428,0.6119026125284097,0.6958686384611401,0.0358,0.0,0.5814207306723279,0.5898543312974592,0.5210022603943002,0.9231991119961509,0.0049,0.0028,0.0022,0.0263
A1:wikipedia,10000,10000,0.0,0.634927591872616,0.6392607330622915,0.529169798069642,0.7426146400201686,0.605535357228996,0.6645930184219101,0.1415,0.0,0.4905134924102642,0.6304661390581132,0.5135426829982432,0.9051880530238432,0.0122,0.0103,0.0,0.1201
